,회사명,종목코드,업종,업종2,업종PER,PER,PBR
0,코리아에셋투자증권,190650,기타 금융업,증권,6.53,5.18,0.69
1,윙입푸드,900340,기타 금융업,식품,29.07,7.17,0.53
2,세아제강,306200,1차 철강 제조업,철강,41.6,9.81,0.45
3,한일시멘트,300720,"시멘트, 석회, 플라스터 및 그 제품 제조업",건축자재,36.34,7.57,0.59
4,그리티,204020,봉제의복 제조업,"섬유,의류,신발,호화품",33.35,27.36,0.77
5,동양피스톤,092780,자동차용 엔진 및 자동차 제조업,자동차부품,46.67,9.2,0.82
6,동아타이어,282690,고무제품 제조업,자동차부품,46.67,8.93,0.38
7,삼양패키징,272550,플라스틱제품 제조업,포장재,16.84,7.25,0.95
8,롯데제과,280360,기타 식품 제조업,식품,29.07,24.95,0.69
9,선익시스템,171090,특수 목적용 기계 제조업,디스플레이장비및부품,86.49,12.43,1.0
10,컬러레이,900310,기타 금융업,화장품,89.76,5.74,0.62
11,하림지주,003380,기타 금융업,식품,29.07,13.1,0.35
12,경동도시가스,267290,연료용 가스 제조 및 배관공급업,가스유틸리티,19.09,6.14,0.31
13,크라운제과,264900,기타 식품 제조업,식품,29.07,6.69,0.89
14,이엘피,063760,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외",디스플레이장비및부품,86.49,11.11,0.85
15,호전실업,111110,봉제의복 제조업,"섬유,의류,신발,호화품",33.35,30.93,0.67
16,핸즈코퍼레이션,143210,자동차 신품 부품 제조업,자동차부품,46.67,33.2,0.53
17,오가닉티코스메틱,900300,기타 금융업,화장품,89.76,3.22,0.13
18,GRT,900290,기타 금융업,디스플레이장비및부품,86.49,1.39,0.12
19,골든센츄리,900280,기타 금융업,자동차부품,46.67,2.04,0.2
20,두올,016740,자동차 신품 부품 제조업,자동차부품,46.67,20.03,0.65
21,우리손에프앤지,073560,"도축, 육류 가공 및 저장 처리업",식품,29.07,17.52,0.76
22,한국자산신탁,123890,신탁업 및 집합투자업,부동산,4.26,4.1,0.65
23,로스웰,900260,기타 금융업,자동차부품,46.67,12.94,0.17
24,레이언스,228850,의료용 기기 제조업,건강관리장비와용품,208.42,42.38,0.92
25,제이에스코퍼레이션,194370,"가죽, 가방 및 유사제품 제조업","섬유,의류,신발,호화품",33.35,21.9,0.76
26,크리스탈신소재,900250,기타 금융업,화학,69.0,4.86,0.4
27,코디엠,224060,특수 목적용 기계 제조업,반도체와반도체장비,20.53,9.66,0.9
28,아진산업,013310,자동차 신품 부품 제조업,자동차부품,46.67,14.73,0.68
29,미래테크놀로지,213090,소프트웨어 개발 및 공급업,IT서비스,24.96,22.09,0.81
30,케이디켐,221980,기타 화학제품 제조업,화학,69.0,6.87,0.64
31,네오오토,212560,자동차 신품 부품 제조업,자동차부품,46.67,11.7,0.5
32,현대코퍼레이션홀딩스,227840,음·식료품 및 담배 도매업,식품과기본식료품소매,128.99,7.83,0.56
33,패션플랫폼,225590,봉제의복 제조업,"섬유,의류,신발,호화품",33.35,9.49,0.92
34,AJ네트웍스,095570,산업용 기계 및 장비 임대업,도로와철도운송,54.64,4.1,0.59
35,아시아경제,127710,"자료처리, 호스팅, 포털 및 기타 인터넷 정보매개 서비스업",출판,30.57,7.89,0.49
36,미래에셋생명,085620,보험업,생명보험,12.49,6.12,0.24
37,한솔제지,213500,"펄프, 종이 및 판지 제조업",종이와목재,41.06,4.41,0.49
38,삼성물산,028260,기타 전문 도매업,복합기업,29.11,21.95,0.89
39,쿠쿠홀딩스,192400,기타 금융업,가정용기기와용품,15.82,8.08,0.98
40,창해에탄올,004650,알코올음료 제조업,음료,98.61,5.87,0.76
41,엔브이에이치코리아,067570,자동차 신품 부품 제조업,자동차부품,46.67,13.55,0.88
42,아세아시멘트,183190,"시멘트, 석회, 플라스터 및 그 제품 제조업",건축자재,36.34,20.37,0.46
43,KG ETS,151860,폐기물 처리업,복합유틸리티,5.28,2.0,0.81
44,JB금융지주,175330,기타 금융업,은행,4.87,3.3,0.3
45,DSR,155660,1차 비철금속 제조업,비철금속,21.86,10.05,0.55
46,동일고무벨트,163560,고무제품 제조업,자동차부품,46.67,18.96,0.66
47,한국타이어앤테크놀로지,161390,고무제품 제조업,자동차부품,46.67,23.36,0.81
48,애경유화,161000,기초 화학물질 제조업,화학,69.0,11.27,0.84
49,비아트론,141000,특수 목적용 기계 제조업,디스플레이장비및부품,86.49,12.24,0.97
50,휴비스,079980,화학섬유 제조업,"섬유,의류,신발,호화품",33.35,11.25,0.68
51,삼양사,145990,기타 식품 제조업,식품,29.07,10.97,0.55
52,삼원강재,023000,자동차 신품 부품 제조업,자동차부품,46.67,19.02,0.67
53,DGB금융지주,139130,기타 금융업,은행,4.87,3.6,0.24
54,세아특수강,019440,1차 철강 제조업,철강,41.6,9.41,0.32
55,메리츠금융지주,138040,기타 금융업,손해보험,6.87,3.09,0.43
56,티케이케미칼,104480,화학섬유 제조업,화학,69.0,26.62,0.9
57,BNK금융지주,138930,기타 금융업,은행,4.87,3.96,0.22
58,현대위아,011210,자동차 신품 부품 제조업,자동차부품,46.67,19.97,0.77
59,대성에너지,117580,연료용 가스 제조 및 배관공급업,가스유틸리티,19.09,9.83,0.46
60,KTis,058860,기타 정보 서비스업,상업서비스와공급품,24.9,9.39,0.52
61,KTcs,058850,기타 정보 서비스업,상업서비스와공급품,24.9,10.61,0.6
62,현대홈쇼핑,057050,무점포 소매업,인터넷과카탈로그소매,20.09,10.89,0.52
63,화신정공,126640,자동차 신품 부품 제조업,자동차부품,46.67,17.33,0.77
64,코리아에프티,123410,자동차 신품 부품 제조업,자동차부품,46.67,18.39,0.88
65,아이마켓코리아,122900,상품 종합 도매업,상업서비스와공급품,24.9,19.89,0.78
66,무학,033920,알코올음료 제조업,음료,98.61,8.44,0.38
67,에스제이엠,123700,자동차 신품 부품 제조업,자동차부품,46.67,22.19,0.41
68,한라홀딩스,060980,기타 금융업,자동차부품,46.67,14.15,0.47
69,이스트아시아홀딩스,900110,기타 금융업,"섬유,의류,신발,호화품",33.35,6.88,0.11
70,한화생명,088350,보험업,생명보험,12.49,11.41,0.16
71,조선선재,120030,기타 금속 가공제품 제조업,철강,41.6,11.59,0.95
72,인포바인,115310,전기 통신업,IT서비스,24.96,8.69,0.49
73,코오롱인더,120110,화학섬유 제조업,화학,69.0,9.9,0.77
74,글로벌에스엠,900070,기타 금융업,자동차부품,46.67,37.01,0.72
75,에스앤씨엔진그룹,900080,기타 금융업,자동차부품,46.67,4.41,0.06
76,휴맥스,115160,영상 및 음향기기 제조업,전자제품,41.38,6.47,0.31
77,에이프로젠 H&G,109960,기타 전문 도매업,제약,99.58,14.55,0.53
78,황금에스티,032560,1차 비철금속 제조업,비철금속,21.86,12.83,0.45
79,동양생명,082640,보험업,생명보험,12.49,8.21,0.21
80,게임빌,063080,소프트웨어 개발 및 공급업,게임엔터테인먼트,37.25,14.95,0.97
81,영원무역,111770,상품 종합 도매업,"섬유,의류,신발,호화품",33.35,9.93,0.81
82,LG하우시스,108670,플라스틱제품 제조업,건축자재,36.34,23.31,0.83
83,한국철강,104700,1차 철강 제조업,철강,41.6,11.11,0.49
84,풍산,103140,1차 비철금속 제조업,비철금속,21.86,18.17,0.59
85,슈프리마에이치큐,094840,통신 및 방송 장비 제조업,전자장비와기기,65.66,12.07,0.55
86,동성코퍼레이션,102260,회사 본부 및 경영 컨설팅 서비스업,화학,69.0,19.17,0.75
87,LG유플러스,032640,전기 통신업,무선통신서비스,13.56,6.89,0.72
88,진양홀딩스,100250,플라스틱제품 제조업,화학,69.0,4.71,0.46
89,일진파워,094820,전기 및 통신 공사업,건설,7.01,6.12,0.78
90,KSS해운,044450,해상 운송업,해운사,116.29,9.06,0.84
91,현우산업,092300,전자부품 제조업,전자장비와기기,65.66,31.3,0.91
92,엘엠에스,073110,전자부품 제조업,디스플레이장비및부품,86.49,9.61,0.75
93,미래나노텍,095500,플라스틱제품 제조업,디스플레이장비및부품,86.49,12.0,0.51
94,팬오션,028670,해상 운송업,해운사,116.29,19.11,0.85
95,옴니시스템,057540,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외",전자장비와기기,65.66,4.94,0.98
96,S&K폴리텍,091340,전자부품 제조업,전자장비와기기,65.66,50.56,0.62
97,삼성카드,029780,기타 금융업,카드,9.1,9.09,0.49
98,풍강,093380,기타 금속 가공제품 제조업,자동차부품,46.67,34.56,0.67
99,이베스트투자증권,078020,금융 지원 서비스업,증권,6.53,4.53,0.64
100,제이스텍,090470,특수 목적용 기계 제조업,디스플레이장비및부품,86.49,73.83,0.89
101,동아엘텍,088130,특수 목적용 기계 제조업,디스플레이장비및부품,86.49,9.8,0.52
102,휴온스글로벌,084110,의약품 제조업,제약,99.58,9.71,0.82
103,LF,093050,봉제의복 제조업,"섬유,의류,신발,호화품",33.35,10.64,0.35
104,코스맥스비티아이,044820,기타 금융업,제약,99.58,35.55,0.51
105,인천도시가스,034590,연료용 가스 제조 및 배관공급업,가스유틸리티,19.09,10.39,0.55
106,광진윈텍,090150,자동차 신품 부품 제조업,자동차부품,46.67,23.27,0.95
107,삼정펄프,009770,"펄프, 종이 및 판지 제조업",가정용품,14.53,3.08,0.35
108,KPX홀딩스,092230,기초 화학물질 제조업,화학,69.0,4.7,0.37
109,HDC현대EP,089470,기타 화학제품 제조업,자동차부품,46.67,14.42,0.62
110,노루페인트,090350,기타 화학제품 제조업,건축자재,36.34,10.77,0.59
111,신세계I&C,035510,"컴퓨터 프로그래밍, 시스템 통합 및 관리업",IT서비스,24.96,3.62,0.78
112,진바이오텍,086060,동물용 사료 및 조제식품 제조업,제약,99.58,51.9,0.99
113,한일네트웍스,046110,"자료처리, 호스팅, 포털 및 기타 인터넷 정보매개 서비스업",IT서비스,24.96,7.58,0.83
114,하나금융지주,086790,기타 금융업,은행,4.87,4.49,0.35
115,한국코퍼레이션,050540,기타 사업지원 서비스업,상업서비스와공급품,24.9,4.7,0.42
116,제일연마,001560,기타 비금속 광물제품 제조업,비철금속,21.86,17.24,0.63
117,모다이노칩,080420,"섬유, 의복, 신발 및 가죽제품 소매업",전자장비와기기,65.66,58.1,0.85
118,현대리바트,079430,가구 제조업,가구,21.96,14.27,0.73
119,대한제강,084010,1차 철강 제조업,철강,41.6,4.29,0.54
120,이상네트웍스,080010,상품 중개업,인터넷과카탈로그소매,20.09,8.17,0.66
121,대상홀딩스,084690,기타 금융업,식품,29.07,3.08,0.57
122,동양고속,084670,육상 여객 운송업,도로와철도운송,54.64,4.97,0.54
123,플랜티넷,075130,"컴퓨터 프로그래밍, 시스템 통합 및 관리업",소프트웨어,86.51,24.46,0.77
124,삼호개발,010960,기반조성 및 시설물 축조관련 전문공사업,건설,7.01,6.98,0.57
125,동양이엔피,079960,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업",전기제품,206.26,5.72,0.63
126,한창산업,079170,1차 비철금속 제조업,비철금속,21.86,21.38,0.72
127,유니드,014830,기초 화학물질 제조업,화학,69.0,7.14,0.63
128,상신브레이크,041650,자동차 신품 부품 제조업,자동차부품,46.67,27.84,0.63
129,텔코웨어,078000,"자료처리, 호스팅, 포털 및 기타 인터넷 정보매개 서비스업",소프트웨어,86.51,41.61,0.61
130,테라젠이텍스,066700,의약품 제조업,제약,99.58,7.98,0.73
131,디에이피,066900,전자부품 제조업,전자장비와기기,65.66,28.84,0.72
132,기업은행,024110,은행 및 저축기관,은행,4.87,4.33,0.28
133,에스텍,069510,영상 및 음향기기 제조업,전자장비와기기,65.66,11.92,0.61
134,휴비츠,065510,의료용 기기 제조업,건강관리장비와용품,208.42,11.88,1.0
135,농심홀딩스,072710,기타 금융업,식품,29.07,5.59,0.36
136,이라이콤,041520,상품 중개업,디스플레이장비및부품,86.49,11.94,0.8
137,탑엔지니어링,065130,특수 목적용 기계 제조업,디스플레이장비및부품,86.49,4.43,0.72
138,DSR제강,069730,1차 철강 제조업,철강,41.6,12.38,0.46
139,S&T홀딩스,036530,기타 금융업,자동차부품,46.67,5.42,0.28
140,세종공업,033530,자동차 신품 부품 제조업,자동차부품,46.67,41.96,0.61
141,젬백스링크,064800,"섬유, 의복, 신발 및 가죽제품 소매업","섬유,의류,신발,호화품",33.35,12.72,0.8
142,교보증권,030610,금융 지원 서비스업,증권,6.53,4.01,0.39
143,동양에스텍,060380,1차 철강 제조업,철강,41.6,36.21,0.98
144,한국컴퓨터,054040,전자부품 제조업,디스플레이장비및부품,86.49,6.65,0.52
145,팬스타엔터프라이즈,054300,일반 목적용 기계 제조업,자동차부품,46.67,39.23,0.94
146,금강철강,053260,1차 철강 제조업,철강,41.6,16.04,0.51
147,평화정공,043370,자동차 신품 부품 제조업,자동차부품,46.67,45.28,0.43
148,APS홀딩스,054620,기타 금융업,디스플레이장비및부품,86.49,86.02,0.65
149,지에스이,053050,연료용 가스 제조 및 배관공급업,가스유틸리티,19.09,13.73,0.64
150,신한지주,055550,기타 금융업,은행,4.87,4.73,0.4
151,KCC건설,021320,건물 건설업,건설,7.01,6.08,0.46
152,액토즈소프트,052790,소프트웨어 개발 및 공급업,게임엔터테인먼트,37.25,5.62,0.64
153,태양,053620,기타 금속 가공제품 제조업,가정용품,14.53,10.65,0.54
154,세아홀딩스,058650,1차 철강 제조업,철강,41.6,38.11,0.14
155,삼표시멘트,038500,기타 비금속 광물제품 제조업,건축자재,36.34,32.45,0.78
156,삼현철강,017480,1차 철강 제조업,철강,41.6,10.52,0.43
157,금화피에스시,036190,전기 및 통신 공사업,건설,7.01,5.45,0.67
158,동원F&B,049770,기타 식품 제조업,식품,29.07,9.87,0.96
159,KD,044180,건물 건설업,건설,7.01,6.2,0.63
160,아즈텍WB,032080,"섬유제품 염색, 정리 및 마무리 가공업","섬유,의류,신발,호화품",33.35,16.94,0.49
161,한양이엔지,045100,"건축기술, 엔지니어링 및 관련 기술 서비스업",건설,7.01,6.84,0.81
162,국순당,043650,알코올음료 제조업,음료,98.61,26.38,0.63
163,오공,045060,기타 화학제품 제조업,화학,69.0,10.56,0.98
164,삼아제약,009300,의약품 제조업,제약,99.58,28.01,0.55
165,에스씨디,042110,가정용 기기 제조업,전기제품,206.26,28.11,0.71
166,네오위즈홀딩스,042420,소프트웨어 개발 및 공급업,게임엔터테인먼트,37.25,3.86,0.39
167,파인디지털,038950,통신 및 방송 장비 제조업,전자제품,41.38,9.0,0.63
168,SG&G,040610,자동차 신품 부품 제조업,자동차부품,46.67,9.2,0.35
169,쎄니트,037760,1차 철강 제조업,비철금속,21.86,8.33,0.71
170,경남스틸,039240,1차 철강 제조업,철강,41.6,15.15,0.58
171,GS홈쇼핑,028150,텔레비전 방송업,인터넷과카탈로그소매,20.09,7.81,0.69
172,솔브레인홀딩스,036830,기타 화학제품 제조업,반도체와반도체장비,20.53,0.5,0.82
173,무림SP,001810,"펄프, 종이 및 판지 제조업",종이와목재,41.06,39.78,0.39
174,심텍홀딩스,036710,통신 및 방송 장비 제조업,전자장비와기기,65.66,4.5,0.79
175,서희건설,035890,건물 건설업,건설,7.01,2.75,0.69
176,대성홀딩스,016710,회사 본부 및 경영 컨설팅 서비스업,가스유틸리티,19.09,9.74,0.98
177,다우데이타,032190,기계장비 및 관련 물품 도매업,증권,6.53,4.68,0.69
178,우리조명,037400,전구 및 조명장치 제조업,디스플레이장비및부품,86.49,8.83,0.82
179,인지디스플레,037330,전자부품 제조업,디스플레이장비및부품,86.49,18.03,0.95
180,유성티엔에스,024800,육상 여객 운송업,도로와철도운송,54.64,2.67,0.32
